cluster,cell_type,cl_id,n_pos_markers,n_pos_present,n_pos_missing,n_pos_silent,n_pos_de,pos_present_markers,pos_missing_markers,pos_silent_markers,pos_supporting_markers,context_origin,context_review_status,context_supporting_markers,n_context_supporting_markers,n_atlas_supporting_markers,context_only_support,pct_overlap,mean_log2fc,pct_expressed,specificity,n_neg_markers,n_neg_present,neg_expressed_markers,neg_conflict,combined_score,n_provenance_relationships,marker_provenance_status,marker_provenance_sources,confidence,critic_flags,critic_evidence,critic_confidence,critic_notes,critic_method,critic_independence,n_expected_markers,n_present_markers,n_expressed_markers,n_missing_markers,n_silent_markers,expected_marker_coverage,present_markers,expressed_markers,missing_markers,silent_markers,candidate_cell_type,candidate_cl_id,decision,abstain_reason,evidence_summary,cell_state_candidate,state_score,state_marker_coverage,state_expression_coverage,state_mean_log2fc,state_negative_conflict,n_state_expected_markers,n_state_present_markers,n_state_missing_markers,n_state_silent_markers,n_state_supporting_markers,state_present_markers,state_missing_markers,state_silent_markers,state_supporting_markers,state_negative_markers_expressed,state_source,state_review_status,state_decision,state_confidence,state_flags,state_evidence,display_label
0,CD4+ T cell,CL:0000624,4,4,0,0,4,CD4;IL7R;MAL;TRAC,,,CD4;IL7R;MAL;TRAC,False,not_applicable,,0,4,False,1.0,3.621,1.0,0.5265,3,2,,0.0,0.9053,7,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,high,AGGREGATE_PROVENANCE_ONLY,Coverage: 4/4 (100%) expected markers expressed; 0 missing from matrix; 0 present but silent | All 2 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,4,4,4,0,0,1.0,CD4;IL7R;MAL;TRAC,CD4;IL7R;MAL;TRAC,,,CD4+ T cell,CL:0000624,accepted,,"Cluster 0 → CD4+ T cell [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 100%, score 0.91 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",memory_t_cell,0.475,0.25,0.25,4.3473,0.0,4,1,3,0,1,IL7R,TCF7;LEF1;CCR7,,IL7R,,builtin:state-atlas-2026.08,reviewed,hypothesis,low,STATE_MARKERS_MISSING,support=1/4; expressed=25%; missing=3; silent=0,CD4+ T cell
1,Monocyte,CL:0000576,5,5,0,0,5,CD14;LYZ;S100A8;S100A9;FCN1,,,CD14;LYZ;S100A8;S100A9;FCN1,False,not_applicable,,0,5,False,1.0,7.1619,1.0,0.6694,4,3,,0.0,0.9339,9,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,high,AGGREGATE_PROVENANCE_ONLY,Coverage: 5/5 (100%) expected markers expressed; 0 missing from matrix; 0 present but silent | All 3 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,5,5,5,0,0,1.0,CD14;LYZ;S100A8;S100A9;FCN1,CD14;LYZ;S100A8;S100A9;FCN1,,,Monocyte,CL:0000576,accepted,,"Cluster 1 → Monocyte [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 100%, score 0.93 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0,Monocyte
2,B cell,CL:0000236,5,5,0,0,5,CD19;MS4A1;CD79A;CD79B;PAX5,,,CD19;MS4A1;CD79A;CD79B;PAX5,False,not_applicable,,0,5,False,1.0,3.9675,1.0,0.5007,3,3,,0.0,0.9001,8,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,high,AGGREGATE_PROVENANCE_ONLY,Coverage: 5/5 (100%) expected markers expressed; 0 missing from matrix; 0 present but silent | All 3 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,5,5,5,0,0,1.0,CD19;MS4A1;CD79A;CD79B;PAX5,CD19;MS4A1;CD79A;CD79B;PAX5,,,B cell,CL:0000236,accepted,,"Cluster 2 → B cell [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 100%, score 0.90 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0,B cell
3,T cell,CL:0000084,5,4,1,0,4,CD3D;CD3E;CD2;TRAC,CD7,,CD3D;CD3E;CD2;TRAC,False,not_applicable,,0,4,False,0.8,2.2821,0.8,0.3361,4,4,,0.0,0.7572,9,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,medium,AGGREGATE_PROVENANCE_ONLY,Coverage: 4/5 (80%) expected markers expressed; 1 missing from matrix; 0 present but silent | All 4 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,5,4,4,1,0,0.8,CD3D;CD3E;CD2;TRAC,CD3D;CD3E;CD2;TRAC,CD7,,T cell,CL:0000084,accepted,,"Cluster 3 → T cell [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 80%, score 0.76 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0,T cell
4,CD56dim NK cell,CL:0000939,5,4,1,0,4,NKG7;GNLY;KLRD1;PRF1,FCGR3A,,NKG7;GNLY;KLRD1;PRF1,False,not_applicable,,0,4,False,0.8,6.8154,0.8,0.5944,1,1,,0.0,0.8089,6,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,high,AGGREGATE_PROVENANCE_ONLY,Coverage: 4/5 (80%) expected markers expressed; 1 missing from matrix; 0 present but silent | All 1 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,5,4,4,1,0,0.8,NKG7;GNLY;KLRD1;PRF1,NKG7;GNLY;KLRD1;PRF1,FCGR3A,,CD56dim NK cell,CL:0000939,accepted,,"Cluster 4 → CD56dim NK cell [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 80%, score 0.81 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",cytotoxic,0.86,0.8,0.8,6.9002,0.0,5,4,1,0,4,GZMB;PRF1;GNLY;NKG7,GZMA,,GZMB;PRF1;GNLY;NKG7,,builtin:state-atlas-2026.08,reviewed,supported,high,STATE_MARKERS_MISSING,support=4/5; expressed=80%; missing=1; silent=0,CD56dim NK cell · cytotoxic
5,Dendritic cell,CL:0000451,5,5,0,0,5,ITGAX;FCER1A;CLEC10A;CD1C;HLA-DRA,,,ITGAX;FCER1A;CLEC10A;CD1C;HLA-DRA,False,not_applicable,,0,5,False,1.0,6.6316,1.0,0.5021,4,4,,0.0,0.9004,9,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,high,AGGREGATE_PROVENANCE_ONLY,Coverage: 5/5 (100%) expected markers expressed; 0 missing from matrix; 0 present but silent | All 4 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,medium,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator,rules_based_same_run_review,not_independent,5,5,5,0,0,1.0,ITGAX;FCER1A;CLEC10A;CD1C;HLA-DRA,ITGAX;FCER1A;CLEC10A;CD1C;HLA-DRA,,,Dendritic cell,CL:0000451,accepted,,"Cluster 5 → Dendritic cell [MEDIUM] FLAGGED (AGGREGATE_PROVENANCE_ONLY) | Evidence: marker overlap 100%, score 0.90 | Action: Treat as a draft; verify marker edges against stable records or primary sources.",Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0,Dendritic cell
6,Unknown,,4,4,0,0,4,CD4;IL7R;MAL;TRAC,,,CD4;IL7R;MAL;TRAC,False,not_applicable,,0,4,False,1.0,2.7032,1.0,0.2161,3,2,,0.0,0.8432,7,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,medium,AGGREGATE_PROVENANCE_ONLY; NEG_MARKER_CONFLICT; POSSIBLE_DOUBLET,Coverage: 4/4 (100%) expected markers expressed; 0 missing from matrix; 0 present but silent | Negative markers expressed: CD8B (21%) | Cross-lineage co-expression of CD4+ T cell (100%) and B cell (100%) markers | Ensemble: not available,needs_review,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator; 1 negative marker(s) unexpectedly expressed — possible misannotation or doublet; Two distinct lineage signatures co-expressed — possible doublet or transitional state. Consider sub-clustering.,rules_based_same_run_review,not_independent,4,4,4,0,0,1.0,CD4;IL7R;MAL;TRAC,CD4;IL7R;MAL;TRAC,,,CD4+ T cell,CL:0000624,abstain,NEG_MARKER_CONFLICT; POSSIBLE_DOUBLET,"Cluster 6 → Unknown (candidate: CD4+ T cell) [NEEDS_REVIEW] FLAGGED (AGGREGATE_PROVENANCE_ONLY; NEG_MARKER_CONFLICT; POSSIBLE_DOUBLET) | Evidence: marker overlap 100%, score 0.84 | Action: Treat as a draft; verify marker edges against stable records or primary sources. Likely misannotation or doublet; verify markers. Sub-cluster or mark as doublet.",memory_t_cell,0.475,0.25,0.25,2.6125,0.0,4,1,3,0,1,IL7R,TCF7;LEF1;CCR7,,IL7R,,builtin:state-atlas-2026.08,reviewed,hypothesis,low,STATE_MARKERS_MISSING,support=1/4; expressed=25%; missing=3; silent=0,Unknown
7,Unknown,,5,1,4,0,1,FCER1A,CLEC4C;NRP1;IRF7;CD303,,FCER1A,False,not_applicable,,0,1,False,0.2,4.2474,0.2,0.2671,3,3,,0.0,0.4134,8,aggregate_source_only_not_edge_verified,cellmarker_2_0:PMID:36300619;panglaodb:PMID:30951143,low,AGGREGATE_PROVENANCE_ONLY; PARTIAL_EVIDENCE; PARTIAL_DE_SUPPORT,Coverage: 1/5 (20%) expected markers expressed; 4 missing from matrix; 0 present but silent | DE support: 20% of expected markers | All 3 negative markers appropriately absent | No doublet signal detected | Ensemble: not available,low,Marker relations cite database-level sources but have not been verified against a stable database record or primary-source evidence locator; Moderate marker coverage (20%) — consider manual review; Partial directional DE support; candidate requires review,rules_based_same_run_review,not_independent,5,1,1,4,0,0.2,FCER1A,FCER1A,CLEC4C;NRP1;IRF7;CD303,,pDC,CL:0000784,abstain,PARTIAL_DE_SUPPORT; PARTIAL_EVIDENCE,"Cluster 7 → Unknown (candidate: pDC) [LOW] FLAGGED (AGGREGATE_PROVENANCE_ONLY; PARTIAL_EVIDENCE; PARTIAL_DE_SUPPORT) | Evidence: marker overlap 20%, score 0.41 | Action: Treat as a draft; verify marker edges against stable records or primary sources. Review; may be correct for rare/transitional states. Partial directional DE support; review before labeling.",Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0,Unknown
