cluster,cell_state_candidate,state_score,state_marker_coverage,state_expression_coverage,state_mean_log2fc,state_negative_conflict,n_state_expected_markers,n_state_present_markers,n_state_missing_markers,n_state_silent_markers,n_state_supporting_markers,state_present_markers,state_missing_markers,state_silent_markers,state_supporting_markers,state_negative_markers_expressed,state_source,state_review_status,state_decision,state_confidence,state_flags,state_evidence
0,memory_t_cell,0.475,0.25,0.25,4.3473,0.0,4,1,3,0,1,IL7R,TCF7;LEF1;CCR7,,IL7R,,builtin:state-atlas-2026.08,reviewed,hypothesis,low,STATE_MARKERS_MISSING,support=1/4; expressed=25%; missing=3; silent=0
1,Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0
2,Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0
3,Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0
4,cytotoxic,0.86,0.8,0.8,6.9002,0.0,5,4,1,0,4,GZMB;PRF1;GNLY;NKG7,GZMA,,GZMB;PRF1;GNLY;NKG7,,builtin:state-atlas-2026.08,reviewed,supported,high,STATE_MARKERS_MISSING,support=4/5; expressed=80%; missing=1; silent=0
5,Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0
6,memory_t_cell,0.475,0.25,0.25,2.6125,0.0,4,1,3,0,1,IL7R,TCF7;LEF1;CCR7,,IL7R,,builtin:state-atlas-2026.08,reviewed,hypothesis,low,STATE_MARKERS_MISSING,support=1/4; expressed=25%; missing=3; silent=0
7,Unknown,0.0,0.0,0.0,0.0,0.0,8,0,8,0,0,,MCM5;PCNA;TYMS;FEN1;MCM2;MCM4;RRM1;GINS2,,,,builtin:state-atlas-2026.08,reviewed,abstain,needs_review,STATE_MARKERS_MISSING,support=0/8; expressed=0%; missing=8; silent=0
